;Kurshistorie Euro / Schweizer Franken 
30. June 2008;1.60796
31.December 2008;1.48951
30. June 2009;1.52498
31.December 2009;1.48613
30. June 2010;1.3237
31.December 2010;1.2475
30. June 2011;1.20599
31.December 2011;1.21757
30. June 2012;1.20136
31.December 2012;1.20766
30. June 2013;1.23129
31.December 2013;1.22584
30. June 2014;1.21557
31.December 2014;1.20261
30. June 2015;1.0397
31.December 2015;1.0816
30. June 2016;1.0886
31.December 2016;1.0737
